iter	Logloss
0	0.6443879
1	0.6023011459
2	0.5595178998
3	0.5222774136
4	0.4885865502
5	0.4602238475
6	0.4371673508
7	0.4134032762
8	0.3944823095
9	0.3783046924
10	0.361299844
11	0.3477842664
12	0.3321561906
13	0.3249870445
14	0.3153814741
15	0.30498053
16	0.2935659733
17	0.2861924303
18	0.2797239703
19	0.2733005119
20	0.2676394793
21	0.2614645518
22	0.2569294418
23	0.2517198962
24	0.2472071073
25	0.2417525939
26	0.2376640695
27	0.2338940343
28	0.2309216004
29	0.2283046333
30	0.2253792825
31	0.223263475
32	0.2211249616
33	0.2190591727
34	0.2169414976
35	0.2151105275
36	0.2126985027
37	0.2108204685
38	0.2083592648
39	0.2075097321
40	0.2061781198
41	0.2047803489
42	0.2037121691
43	0.2030855334
44	0.2018015173
45	0.2007083726
46	0.1997030504
47	0.1985667915
48	0.1976743946
49	0.1969177483
50	0.1957734373
51	0.1949756715
52	0.1939802659
53	0.1934072194
54	0.1930053664
55	0.1921016731
56	0.1915107407
57	0.1906070717
58	0.1902968501
59	0.1899230351
60	0.1890146329
61	0.1882761245
62	0.1881053353
63	0.1875165552
64	0.186937889
65	0.1866428251
66	0.1863540493
67	0.186020573
68	0.1855774944
69	0.1852840207
70	0.1850413941
71	0.1847255921
72	0.1843586064
73	0.1839313611
74	0.1836048628
75	0.1833738808
76	0.183037794
77	0.1828553428
78	0.1825831549
79	0.182476084
80	0.1823553696
81	0.1819371071
82	0.1816579563
83	0.1815493888
84	0.1813621798
85	0.1811179588
86	0.1809812902
87	0.1808881517
88	0.1806361754
89	0.1804209914
90	0.1803360736
91	0.1802006462
92	0.1800570981
93	0.1799520064
94	0.1797069855
95	0.1796251377
96	0.1794656735
97	0.1791764114
98	0.1790690156
99	0.1790059862
100	0.1789128164
101	0.1786057908
102	0.1785066639
103	0.1784350957
104	0.1781946418
105	0.1781385415
106	0.1780510732
107	0.1779305898
108	0.1776464302
109	0.1775241417
110	0.1773947545
111	0.1772517999
112	0.177126169
113	0.1769634304
114	0.1768079767
115	0.1767057371
116	0.1766755104
117	0.1765676962
118	0.1764568993
119	0.1763703663
120	0.1763385866
121	0.1762989697
122	0.1762474958
123	0.1761045215
124	0.1760166151
125	0.1759175758
126	0.1758062523
127	0.1757749787
128	0.1757498545
129	0.1756832606
130	0.1755738913
131	0.175474442
132	0.1753245095
133	0.1752873558
134	0.1752308906
135	0.1751126382
136	0.175087397
137	0.1749601512
138	0.1748418507
139	0.1746707256
140	0.1746038065
141	0.1745522102
142	0.1744812821
143	0.1743943748
144	0.1743531737
145	0.1741679958
146	0.1741255586
147	0.174094172
148	0.1740145752
149	0.1739447858
150	0.1738782016
151	0.1737851614
152	0.1736200627
153	0.1735900759
154	0.1734484519
155	0.1733451756
156	0.1733271389
157	0.1732421238
158	0.173157293
159	0.1731198933
160	0.1730744855
161	0.1729679429
162	0.172910434
163	0.1728533394
164	0.1728453006
165	0.1727494236
166	0.1726496988
167	0.1725789325
168	0.1724894266
169	0.1723762121
170	0.1723278855
171	0.1722867735
172	0.1722171946
173	0.1721696141
174	0.1721226642
175	0.1720785668
176	0.1719923087
177	0.1719212896
178	0.1718903526
179	0.1717386253
180	0.1716761541
181	0.171640808
182	0.1715062542
183	0.1714338787
184	0.1713653474
185	0.1713557791
186	0.1713534428
187	0.1712859106
188	0.1712558933
189	0.1712112444
190	0.1710839468
191	0.1710548082
192	0.1710133875
193	0.1709943164
194	0.1708585071
195	0.1708249286
196	0.1707037506
197	0.1706732266
198	0.1706539112
199	0.1705970273
